,support,itemsets
4,0.38019732205778717,frozenset({'WetRdway'})
2,0.3749119097956307,frozenset({'BadVisibility'})
5,0.3671599718111346,frozenset({'VOSh'})
3,0.322938689217759,frozenset({'BadWeather'})
37,0.3171247357293869,"frozenset({'WetRdway', 'BadWeather'})"
12,0.27307963354474984,frozenset({'ImproperManeuver'})
10,0.2679704016913319,frozenset({'Inattention'})
6,0.25669485553206484,frozenset({'Congestion'})
8,0.2309725158562368,frozenset({'SlipperySurf/WaterPooling'})
45,0.23062015503875968,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling'})"
1,0.222692036645525,frozenset({'GradePresent'})
70,0.20718816067653276,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling', 'BadWeather'})"
40,0.20718816067653276,"frozenset({'SlipperySurf/WaterPooling', 'BadWeather'})"
0,0.16190979563072586,frozenset({'CurvePresent'})
30,0.160676532769556,"frozenset({'BadVisibility', 'WetRdway'})"
29,0.13530655391120508,"frozenset({'BadVisibility', 'BadWeather'})"
65,0.13090204369274136,"frozenset({'BadVisibility', 'WetRdway', 'BadWeather'})"
48,0.12966878083157152,"frozenset({'ImproperManeuver', 'WetRdway'})"
43,0.12174066243833685,"frozenset({'WetRdway', 'VOSh'})"
49,0.11663143058491895,"frozenset({'Congestion', 'VOSh'})"
42,0.11416490486257928,"frozenset({'ImproperManeuver', 'BadWeather'})"
72,0.11293164200140944,"frozenset({'ImproperManeuver', 'WetRdway', 'BadWeather'})"
53,0.11169837914023961,"frozenset({'Congestion', 'Inattention'})"
51,0.11116983791402396,"frozenset({'Inattention', 'VOSh'})"
38,0.10341789992952784,"frozenset({'BadWeather', 'VOSh'})"
68,0.10236081747709655,"frozenset({'WetRdway', 'BadWeather', 'VOSh'})"
23,0.10130373502466526,"frozenset({'WetRdway', 'GradePresent'})"
52,0.09936575052854123,"frozenset({'ImproperManeuver', 'VOSh'})"
13,0.09760394644115575,frozenset({'FollowTooClose'})
31,0.09496124031007752,"frozenset({'BadVisibility', 'VOSh'})"
67,0.09214235377026074,"frozenset({'BadVisibility', 'WetRdway', 'SlipperySurf/WaterPooling'})"
34,0.09214235377026074,"frozenset({'BadVisibility', 'SlipperySurf/WaterPooling'})"
36,0.09108527131782945,"frozenset({'BadVisibility', 'ImproperManeuver'})"
22,0.08949964763918253,"frozenset({'GradePresent', 'BadWeather'})"
62,0.08914728682170543,"frozenset({'WetRdway', 'GradePresent', 'BadWeather'})"
57,0.08615221987315011,"frozenset({'ImproperManeuver', 'SlipperySurf/WaterPooling'})"
77,0.08579985905567301,"frozenset({'ImproperManeuver', 'WetRdway', 'SlipperySurf/WaterPooling'})"
7,0.08509513742071882,frozenset({'Animal/Debris'})
35,0.08509513742071882,"frozenset({'BadVisibility', 'Inattention'})"
81,0.08157152924594785,"frozenset({'BadVisibility', 'WetRdway', 'SlipperySurf/WaterPooling', 'BadWeather'})"
66,0.08157152924594785,"frozenset({'BadVisibility', 'SlipperySurf/WaterPooling', 'BadWeather'})"
17,0.08104298801973221,"frozenset({'WetRdway', 'CurvePresent'})"
24,0.07998590556730091,"frozenset({'GradePresent', 'VOSh'})"
21,0.07928118393234672,"frozenset({'BadVisibility', 'GradePresent'})"
11,0.07910500352360818,frozenset({'DrivingTooFast'})
83,0.07822410147991543,"frozenset({'ImproperManeuver', 'WetRdway', 'SlipperySurf/WaterPooling', 'BadWeather'})"
74,0.07822410147991543,"frozenset({'ImproperManeuver', 'SlipperySurf/WaterPooling', 'BadWeather'})"
44,0.07575757575757576,"frozenset({'Congestion', 'WetRdway'})"
28,0.0711768851303735,"frozenset({'ImproperManeuver', 'GradePresent'})"
59,0.07064834390415786,"frozenset({'WetRdway', 'CurvePresent', 'BadWeather'})"
16,0.07064834390415786,"frozenset({'CurvePresent', 'BadWeather'})"
50,0.07047216349541931,"frozenset({'SlipperySurf/WaterPooling', 'VOSh'})"
75,0.07029598308668077,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling', 'VOSh'})"
32,0.06818181818181818,"frozenset({'BadVisibility', 'Congestion'})"
26,0.06747709654686398,"frozenset({'SlipperySurf/WaterPooling', 'GradePresent'})"
64,0.06730091613812544,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling', 'GradePresent'})"
47,0.0667723749119098,"frozenset({'DrivingTooFast', 'WetRdway'})"
14,0.0660676532769556,"frozenset({'GradePresent', 'CurvePresent'})"
82,0.06448202959830866,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling', 'BadWeather', 'VOSh'})"
73,0.06448202959830866,"frozenset({'SlipperySurf/WaterPooling', 'BadWeather', 'VOSh'})"
15,0.06289640591966174,"frozenset({'BadVisibility', 'CurvePresent'})"
46,0.06254404510218464,"frozenset({'WetRdway', 'Inattention'})"
80,0.06183932346723044,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling', 'GradePresent', 'BadWeather'})"
63,0.06183932346723044,"frozenset({'SlipperySurf/WaterPooling', 'GradePresent', 'BadWeather'})"
39,0.06042988019732206,"frozenset({'Congestion', 'BadWeather'})"
69,0.059901338971106416,"frozenset({'Congestion', 'WetRdway', 'BadWeather'})"
71,0.05972515856236787,"frozenset({'DrivingTooFast', 'WetRdway', 'BadWeather'})"
41,0.05972515856236787,"frozenset({'DrivingTooFast', 'BadWeather'})"
9,0.059372797744890765,frozenset({'Impaired'})
25,0.05902043692741367,"frozenset({'Congestion', 'GradePresent'})"
54,0.058491895701198025,"frozenset({'ImproperManeuver', 'Congestion'})"
33,0.057787174066243834,"frozenset({'BadVisibility', 'Animal/Debris'})"
19,0.05637773079633545,"frozenset({'SlipperySurf/WaterPooling', 'CurvePresent'})"
61,0.056025369978858354,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling', 'CurvePresent'})"
20,0.055320648343904155,"frozenset({'ImproperManeuver', 'CurvePresent'})"
18,0.053558844256518676,"frozenset({'CurvePresent', 'VOSh'})"
55,0.05214940098661029,"frozenset({'Congestion', 'FollowTooClose'})"
58,0.05179704016913319,"frozenset({'ImproperManeuver', 'Inattention'})"
78,0.05162085976039464,"frozenset({'Congestion', 'Inattention', 'VOSh'})"
27,0.05144467935165609,"frozenset({'Inattention', 'GradePresent'})"
79,0.051268498942917545,"frozenset({'WetRdway', 'SlipperySurf/WaterPooling', 'CurvePresent', 'BadWeather'})"
60,0.051268498942917545,"frozenset({'SlipperySurf/WaterPooling', 'CurvePresent', 'BadWeather'})"
56,0.051092318534179,"frozenset({'DrivingTooFast', 'SlipperySurf/WaterPooling'})"
76,0.05091613812544045,"frozenset({'DrivingTooFast', 'WetRdway', 'SlipperySurf/WaterPooling'})"
