CrashID,CrashMasterFile,Lat,Long,rtunique,CurvePresent,GradePresent,BadVisibility,BadWeather,WetRdway,VOSh,Congestion,Speed,Sphr,P_N,VehicleDefect,WorkZone,Animal/Debris,SlipperySurf/WaterPooling,Impaired,Dstracted,Inattention,DrivingTooFast,RightOfWay,ImproperManeuver,FollowTooClose
6363,72212705,38.20284,-85.68595,056-I-0264-010,1,0,1,0,0,0,0,55.3,No,No,0,0,0,0,0,0,0,0,0,0,0
6369,72212810,37.98286,-85.6997,015-I-0065-000,1,0,1,0,0,0,0,70.21,No,No,0,0,0,0,0,0,0,0,0,0,0
6370,72212816,38.48323,-85.26793,052-I-0071-010,1,1,0,0,1,1,0,64.6,No,No,0,0,0,1,0,0,0,0,0,1,0
6372,72212836,38.1011,-84.48867,034-I-0075-010,0,0,0,0,0,0,0,70.21,No,No,0,0,0,0,0,0,1,0,0,1,0
6373,72212861,37.84862,-84.32989,076-I-0075-000,0,0,0,0,0,1,0,68.87,No,No,0,0,1,0,0,0,0,0,0,0,0
6374,72212862,38.30719,-84.5587,105-I-0075-000,1,0,0,0,0,0,0,64.61,No,No,0,0,0,0,1,0,0,0,0,0,0
6376,72212876,39.05161,-84.55987,059-I-0075-000,0,0,0,0,0,0,0,54.25,No,No,0,0,0,0,0,0,1,0,0,0,0
6377,72212877,38.18666,-85.72628,056-I-0065-010,0,0,0,0,0,1,0,55.3,No,No,0,0,0,0,0,0,0,0,0,0,0
6379,72212907,37.072,-84.0992,063-I-0075-010,0,0,0,0,0,1,0,53.54,No,No,0,0,0,0,0,0,0,0,0,0,0
6382,72212928,38.26054,-85.7362,056-I-0064-000,1,0,0,0,0,1,1,39.15,No,Yes,0,0,0,0,0,0,1,0,0,0,0
6384,72212980,39.021,-84.6177,008-I-0075-000,0,0,0,0,1,0,1,37.16,No,No,0,0,0,1,0,0,1,0,0,0,0
6385,72212981,39.02082,-84.61796,008-I-0075-000,0,0,0,0,1,0,1,40,No,No,0,0,0,1,0,0,1,0,0,0,0
6387,72212992,38.94741,-84.63316,008-I-0075-000,0,0,0,0,0,0,0,70.21,No,No,0,0,0,0,0,0,0,0,0,0,0
6391,72213069,39.05019,-84.56983,059-I-0075-010,0,0,1,0,0,0,1,28.46,No,No,0,1,0,0,0,0,1,0,1,1,0
6393,72213087,38.85609,-84.66078,008-I-0071-010,0,0,0,1,1,0,0,57.63,No,No,0,0,0,1,0,0,0,0,0,1,0
6395,72213110,38.06945,-84.44869,034-I-0075-000,0,0,1,0,0,0,0,67.4,No,No,0,0,0,0,0,0,0,0,0,0,0
6407,72213234,36.75155,-84.17519,118-I-0075-010,0,0,0,0,0,1,0,47.13,No,No,1,0,0,0,0,0,0,0,0,0,0
6412,72213379,39.09936,-84.49263,019-I-0471-010,0,0,0,0,1,0,1,43.19,No,No,0,0,0,1,0,0,1,0,0,0,0
6413,72213388,37.04693,-88.01886,072-I-0024-010,0,0,0,0,0,1,0,68.11,No,No,0,0,0,0,0,0,0,0,0,0,0
6414,72213390,39.05727,-84.46936,019-I-0471-000,1,0,0,1,1,0,0,52.15,No,No,0,0,0,1,0,0,0,0,0,1,0
6419,72213485,37.55314,-84.31678,076-I-0075-010,0,0,0,1,1,1,0,66.41,No,No,0,0,0,0,0,0,0,0,0,1,0
6420,72213494,37.00293,-88.32456,079-I-0024-000,0,0,0,0,0,1,0,66.27,No,No,0,0,0,0,0,0,0,0,0,0,0
6421,72213501,38.35073,-85.48394,093-I-0071-010,0,0,0,0,0,1,0,65.9,No,No,0,0,0,0,0,0,1,0,0,0,1
6425,72213537,36.83939,-84.16251,118-I-0075-000,0,0,1,1,1,0,0,60.15,No,No,0,0,0,1,0,0,0,0,0,1,0
6426,72213545,37.88846,-84.34564,034-I-0075-000,0,1,1,0,1,0,0,70.21,No,No,0,0,0,1,0,0,0,0,0,0,0
6427,72213552,38.23618,-85.64454,056-I-0064-010,0,0,0,1,1,1,0,53.04,No,No,0,0,0,1,0,0,0,0,0,1,0
6428,72213569,37.48251,-87.47582,054-I-0069-010,1,0,0,1,1,1,0,68.22,No,No,0,0,0,1,0,0,0,0,0,0,0
6429,72213570,37.48205,-87.4756,054-I-0069-000,1,0,0,1,1,1,0,66.56,No,No,0,0,0,1,0,0,0,0,0,0,0
6430,72213576,38.11162,-85.6894,056-I-0265-000,0,0,0,0,0,1,1,17.34,No,No,0,0,1,0,0,0,0,0,0,0,0
